"id","attributes","description","image_urls","price","product_id","product_name","stock","category_id","version"
"2","{""os"": ""iOS 18"", ""ram"": ""8GB"", ""brand"": ""Apple"", ""color"": ""Black Titanium"", ""model"": ""iPhone 16 Pro Max"", ""storage"": ""256GB"", ""5G_Support"": true, ""screenSize"": ""6.9 inches""}","The ultimate iPhone featuring a massive 6.9-inch Super Retina XDR display, the powerful A18 Pro chip, and a pro-grade 48MP camera system. Designed with aerospace-grade titanium for unmatched durability and elegance.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16+Pro+Max/Apple+iPhone+16+Pro+Max+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16+Pro+Max/Apple+iPhone+16+Pro+Max+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16+Pro+Max/Apple+iPhone+16+Pro+Max+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16+Pro+Max/Apple+iPhone+16+Pro+Max+4.jpeg""]","114499.00","qxkXn9Xs778Efvv","Apple iPhone 16 Pro Max",41,"1","1"
"3","{""os"": ""iOS 18"", ""ram"": ""8GB"", ""brand"": ""Apple"", ""color"": ""Ultramarine"", ""model"": ""iPhone 16"", ""storage"": ""128GB"", ""5G_Support"": true, ""screenSize"": ""6.1 inches""}","Experience peak performance with the new A18 chip, a vibrant 6.1-inch OLED display, and a versatile 48MP dual-camera setup. The perfect blend of power and everyday usability.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16/Apple+iPhone+16+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16/Apple+iPhone+16+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16/Apple+iPhone+16+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+16/Apple+iPhone+16+4.jpeg""]","59999.00","QMJ6meyeRkvBZLI","Apple iPhone 16",120,"1","1"
"4","{""os"": ""iOS 17"", ""ram"": ""6GB"", ""brand"": ""Apple"", ""color"": ""Pink"", ""model"": ""iPhone 15"", ""storage"": ""128GB"", ""5G_Support"": true, ""screenSize"": ""6.1 inches""}","A major leap forward with the Dynamic Island, a 48MP main camera, and USB-C. Powered by the proven A16 Bionic chip, it delivers fantastic battery life and stunning photos.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+15/Apple+iPhone+15+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+15/Apple+iPhone+15+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+15/Apple+iPhone+15+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Apple+iPhone+15/Apple+iPhone+15+4.jpeg""]","47699.00","G9uTcf4lx8EfviU","Apple iPhone 15",85,"1","1"
"5","{""os"": ""Android 15"", ""ram"": ""12GB"", ""brand"": ""Samsung"", ""color"": ""Titanium Black"", ""model"": ""Galaxy S25 Ultra"", ""storage"": ""512GB"", ""5G_Support"": true, ""screenSize"": ""6.8 inches""}","Samsung's premium flagship featuring an integrated S Pen, an advanced 200MP camera setup, and the cutting-edge Snapdragon 8 Elite processor. Built with a sleek titanium frame and next-gen Galaxy AI.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25+Ultra/Samsung+Galaxy+S25+Ultra+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25+Ultra/Samsung+Galaxy+S25+Ultra+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25+Ultra/Samsung+Galaxy+S25+Ultra+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25+Ultra/Samsung+Galaxy+S25+Ultra+4.jpeg""]","83169.00","pfd0L1q5dGxcsb1","Samsung Galaxy S25 Ultra",60,"1","1"
"6","{""os"": ""Android 15"", ""ram"": ""12GB"", ""brand"": ""Samsung"", ""color"": ""Ice Blue"", ""model"": ""Galaxy S25"", ""storage"": ""256GB"", ""5G_Support"": true, ""screenSize"": ""6.2 inches""}","A compact powerhouse loaded with Galaxy AI features, a brilliant 6.2-inch Dynamic AMOLED 2X display, and all-day battery life. Ideal for content creation and gaming on the go.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25/Samsung+Galaxy+S25+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25/Samsung+Galaxy+S25+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25/Samsung+Galaxy+S25+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S25/Samsung+Galaxy+S25+4.jpeg""]","49499.00","eG0wI4GaYMGouok","Samsung Galaxy S25",150,"1","1"
"7","{""os"": ""Android 14"", ""ram"": ""8GB"", ""brand"": ""Samsung"", ""color"": ""Onyx Black"", ""model"": ""Galaxy S24"", ""storage"": ""256GB"", ""5G_Support"": true, ""screenSize"": ""6.2 inches""}","A reliable and stylish flagship offering robust performance, a versatile triple-camera system, and smooth scrolling with a 120Hz refresh rate.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S24/Samsung+Galaxy+S24+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S24/Samsung+Galaxy+S24+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+S24/Samsung+Galaxy+S24+3.jpeg""]","35299.00","04IA4mLZK9MWVzW","Samsung Galaxy S24",90,"1","1"
"8","{""os"": ""Android 15"", ""ram"": ""16GB"", ""brand"": ""Google"", ""color"": ""Obsidian"", ""model"": ""Pixel 9 Pro"", ""storage"": ""256GB"", ""5G_Support"": true, ""screenSize"": ""6.3 inches""}","The smartest Pixel yet, heavily integrated with Google AI. It features an exceptional camera system capable of stunning low-light photography and a customized Tensor G4 processor.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Google+Pixel+9+Pro/Google+Pixel+9+Pro+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Google+Pixel+9+Pro/Google+Pixel+9+Pro+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Google+Pixel+9+Pro/Google+Pixel+9+Pro+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Google+Pixel+9+Pro/Google+Pixel+9+Pro+4.jpeg""]","65000.00","3wIILuG1b52Q1FA","Google Pixel 9 Pro",35,"1","1"
"10","{""os"": ""HyperOS"", ""ram"": ""16GB"", ""brand"": ""Xiaomi"", ""color"": ""White"", ""model"": ""14 Ultra"", ""storage"": ""512GB"", ""5G_Support"": true, ""screenSize"": ""6.73 inches""}","A photography enthusiast's dream, co-engineered with Leica. Equipped with a quad-camera system boasting a 1-inch sensor, blazing-fast charging, and a gorgeous WQHD+ display.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Xiaomi+14+Ultra/Xiaomi+14+Ultra+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Xiaomi+14+Ultra/Xiaomi+14+Ultra+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Xiaomi+14+Ultra/Xiaomi+14+Ultra+3.jpeg""]","72000.00","ipuv3cMfTmwfnBN","Xiaomi 14 Ultra",25,"1","1"
"11","{""os"": ""Android 14"", ""ram"": ""12GB"", ""brand"": ""Samsung"", ""color"": ""Navy"", ""model"": ""Galaxy Z Fold 6"", ""storage"": ""512GB"", ""5G_Support"": true, ""screenSize"": ""7.6 inches (Unfolded)""}","The ultimate foldable experience. Seamlessly transition from a standard smartphone to a tablet-sized 7.6-inch main display. Enhanced for multitasking with Galaxy AI.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+Z+Fold+6/Samsung+Galaxy+Z+Fold+6+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+Z+Fold+6/Samsung+Galaxy+Z+Fold+6+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+Z+Fold+6/Samsung+Galaxy+Z+Fold+6+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/Samsung+Galaxy+Z+Fold+6/Samsung+Galaxy+Z+Fold+6+4.jpeg""]","85000.00","FrikXRYWNhjwIKG","Samsung Galaxy Z Fold 6",20,"1","1"
"12","{""os"": ""OxygenOS 14"", ""ram"": ""16GB"", ""brand"": ""OnePlus"", ""color"": ""Flowy Emerald"", ""model"": ""12"", ""storage"": ""512GB"", ""5G_Support"": true, ""screenSize"": ""6.82 inches""}","Incredible performance with the Snapdragon 8 Gen 3, paired with incredibly fast 100W wired charging and a Hasselblad-tuned camera system.","[""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/OnePlus+12/OnePlus+12+1.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/OnePlus+12/OnePlus+12+2.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/OnePlus+12/OnePlus+12+3.jpeg"", ""https://smartycommerce-bucket.s3.eu-central-1.amazonaws.com/product+photos/Electronics/Phones/OnePlus+12/OnePlus+12+4.jpeg""]","55000.00","Etja8SUueQUEsiy","OnePlus 12",40,"1","1"
